Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2021,Community Colleges,160516,American Indian or Alaska Native,758
Fall 2022,Doctoral Degree Granting Institutions,110941,American Indian or Alaska Native,193
Fall 2022,Comprehensive Colleges,70297,American Indian or Alaska Native,218
Fall 2022,Technology Colleges,23041,American Indian or Alaska Native,103
Fall 2022,Community Colleges,159333,American Indian or Alaska Native,810
Fall 2023,Doctoral Degree Granting Institutions,111057,American Indian or Alaska Native,252
Fall 2023,Comprehensive Colleges,70644,American Indian or Alaska Native,224
Fall 2023,Technology Colleges,23612,American Indian or Alaska Native,101
Fall 2023,Community Colleges,162225,American Indian or Alaska Native,835
Fall 2019,Community Colleges,192959,Asian,8386
Fall 2019,Comprehensive Colleges,83674,Asian,2893
Fall 2019,Doctoral Degree Granting Institutions,112265,Asian,15890
Fall 2019,Technology Colleges,26674,Asian,1234
Fall 2018,Community Colleges,199873,Asian,8393
Fall 2018,Comprehensive Colleges,85613,Asian,2950
Fall 2018,Doctoral Degree Granting Institutions,111299,Asian,15179
Fall 2018,Technology Colleges,27266,Asian,1166
Fall 2017,Community Colleges,209418,Asian,8359
Fall 2017,Comprehensive Colleges,86301,Asian,2953
Fall 2017,Doctoral Degree Granting Institutions,109030,Asian,14205
Fall 2017,Technology Colleges,27106,Asian,1085
Fall 2016,Community Colleges,216277,Asian,8134
Fall 2016,Comprehensive Colleges,85633,Asian,2830
Fall 2016,Doctoral Degree Granting Institutions,107422,Asian,13603
Fall 2016,Technology Colleges,26806,Asian,1049
Fall 2015,Community Colleges,222998,Asian,8054
Fall 2015,Comprehensive Colleges,87764,Asian,2713
Fall 2015,Doctoral Degree Granting Institutions,105998,Asian,13276
Fall 2015,Technology Colleges,26180,Asian,932
Fall 2014,Community Colleges,233812,Asian,7787
Fall 2014,Comprehensive Colleges,89442,Asian,2560
Fall 2014,Doctoral Degree Granting Institutions,105408,Asian,12992
Fall 2014,Technology Colleges,26177,Asian,887
Fall 2013,Community Colleges,239791,Asian,7662
Fall 2013,Comprehensive Colleges,89701,Asian,2601
Fall 2013,Doctoral Degree Granting Institutions,104285,Asian,12748
Fall 2013,Technology Colleges,25773,Asian,825
Fall 2012,Community Colleges,243007,Asian,7594
Fall 2012,Comprehensive Colleges,90908,Asian,2172
Fall 2012,Doctoral Degree Granting Institutions,102205,Asian,12026
Fall 2012,Technology Colleges,25696,Asian,758
Fall 2011,Community Colleges,247667,Asian,7236
Fall 2011,Comprehensive Colleges,92783,Asian,2158
Fall 2011,Doctoral Degree Granting Institutions,101664,Asian,11484
Fall 2011,Technology Colleges,25892,Asian,773
Fall 2010,Community Colleges,249343,Asian,7241
Fall 2010,Comprehensive Colleges,93204,Asian,1881
Fall 2010,Doctoral Degree Granting Institutions,100457,Asian,10971
Fall 2010,Technology Colleges,28180,Asian,698
Fall 2009,Community Colleges,239243,Asian,7294
Fall 2009,Comprehensive Colleges,94024,Asian,1912
Fall 2009,Doctoral Degree Granting Institutions,100402,Asian,10836
Fall 2009,Technology Colleges,27778,Asian,586
Fall 2008,Community Colleges,220995,Asian,6748
Fall 2008,Comprehensive Colleges,92825,Asian,2016
Fall 2008,Doctoral Degree Granting Institutions,99162,Asian,10324
Fall 2008,Technology Colleges,26541,Asian,625
Fall 2007,Community Colleges,214129,Asian,6568
Fall 2007,Comprehensive Colleges,90894,Asian,1944
